iter	Passed	Remaining
685	990	453
686	991	451
687	992	450
688	993	448
689	995	447
690	996	445
691	997	443
692	998	442
693	999	440
694	1000	439
695	1001	437
696	1002	435
697	1003	434
698	1005	432
699	1007	431
700	1008	430
701	1009	428
702	1010	427
703	1011	425
704	1012	423
705	1014	422
706	1015	420
707	1016	419
708	1017	417
709	1018	416
710	1019	414
711	1020	412
712	1022	411
713	1023	410
714	1024	408
715	1026	406
716	1027	405
717	1028	404
718	1030	402
719	1031	401
720	1032	399
721	1033	398
722	1035	396
723	1036	395
724	1038	393
725	1039	392
726	1040	390
727	1041	389
728	1042	387
729	1043	386
730	1045	384
731	1046	383
732	1047	381
733	1048	379
734	1050	378
735	1053	377
736	1054	376
737	1055	374
738	1056	372
739	1057	371
740	1058	369
741	1059	368
742	1060	366
743	1061	365
744	1062	363
745	1063	362
746	1064	360
747	1066	359
748	1067	357
749	1068	356
750	1069	354
751	1070	352
752	1071	351
753	1072	349
754	1073	348
755	1074	346
756	1076	345
757	1076	343
758	1078	342
759	1080	341
760	1081	339
761	1082	338
762	1083	336
763	1084	335
764	1085	333
765	1087	332
766	1088	330
767	1089	329
768	1090	327
769	1091	326
770	1093	324
771	1094	323
772	1095	321
773	1097	320
774	1098	318
775	1099	317
776	1100	315
777	1101	314
778	1102	312
779	1103	311
780	1104	309
781	1105	308
782	1106	306
783	1107	305
784	1109	303
785	1110	302
786	1110	300
787	1112	299
788	1113	297
789	1114	296
790	1115	294
791	1116	293
792	1117	291
793	1118	290
794	1119	288
795	1120	287
796	1121	285
797	1122	284
798	1123	282
799	1125	281
800	1126	279
801	1127	278
802	1128	276
803	1129	275
804	1130	273
805	1131	272
806	1132	270
807	1133	269
808	1134	267
809	1136	266
810	1137	265
811	1138	263
812	1139	262
813	1140	260
814	1141	259
815	1142	257
816	1143	256
817	1144	254
818	1146	253
819	1147	251
820	1148	250
821	1149	248
822	1150	247
823	1151	245
824	1152	244
825	1153	243
826	1154	241
827	1155	240
828	1158	238
829	1160	237
830	1161	236
831	1162	234
832	1162	233
833	1163	231
834	1164	230
835	1165	228
836	1166	227
837	1167	225
838	1168	224
839	1169	222
840	1170	221
841	1171	219
842	1173	218
843	1174	217
844	1175	215
845	1176	214
846	1177	212
847	1178	211
848	1179	209
849	1180	208
850	1181	206
851	1182	205
852	1183	203
853	1184	202
854	1185	201
855	1186	199
856	1187	198
857	1188	196
858	1189	195
859	1190	193
860	1191	192
861	1192	190
862	1194	189
863	1195	188
864	1196	186
865	1197	185
866	1198	183
867	1199	182
868	1200	180
869	1201	179
870	1203	178
871	1204	176
872	1205	175
873	1206	173
874	1207	172
875	1208	171
876	1209	169
877	1210	168
878	1211	166
879	1212	165
880	1213	163
881	1214	162
882	1215	161
883	1217	159
884	1218	158
885	1219	156
886	1220	155
887	1221	154
888	1222	152
889	1223	151
890	1224	149
891	1225	148
892	1226	146
893	1227	145
894	1228	144
895	1229	142
896	1230	141
897	1232	139
898	1233	138
899	1234	137
900	1235	135
901	1236	134
902	1237	132
903	1238	131
904	1239	130
905	1240	128
906	1241	127
907	1242	125
908	1243	124
909	1244	123
910	1246	121
911	1247	120
912	1249	119
913	1251	117
914	1252	116
915	1253	114
916	1255	113
917	1256	112
918	1256	110
919	1257	109
920	1258	107
921	1259	106
922	1261	105
923	1262	103
924	1263	102
925	1264	101
926	1265	99
927	1266	98
928	1267	96
929	1268	95
930	1269	94
931	1270	92
932	1271	91
933	1272	89
934	1273	88
935	1274	87
936	1275	85
937	1276	84
938	1277	83
939	1278	81
940	1279	80
941	1280	78
942	1281	77
943	1282	76
944	1283	74
945	1284	73
946	1285	71
947	1286	70
948	1287	69
949	1288	67
950	1289	66
951	1290	65
952	1292	63
953	1293	62
954	1294	60
955	1294	59
956	1295	58
957	1296	56
958	1297	55
959	1298	54
960	1299	52
961	1300	51
962	1301	50
963	1302	48
964	1303	47
965	1304	45
966	1305	44
967	1306	43
968	1307	41
969	1308	40
970	1309	39
971	1310	37
972	1311	36
973	1312	35
974	1314	33
975	1315	32
976	1316	30
977	1317	29
978	1318	28
979	1319	26
980	1320	25
981	1322	24
982	1323	22
983	1324	21
984	1324	20
985	1325	18
986	1326	17
987	1327	16
988	1329	14
989	1330	13
990	1331	12
991	1332	10
992	1333	9
993	1334	8
994	1335	6
995	1337	5
996	1338	4
997	1339	2
998	1340	1
999	1341	0
